seqnames	start	end	width	strand	peak_name
chr1	156256330	156256759	430	*	peak_184
chr1	134973559	134973958	400	*	peak_185
chr1	64695414	64695824	411	*	peak_186
chr1	75438865	75439065	201	*	peak_187
chr1	173456625	173457044	420	*	peak_188
chr1	87596310	87596763	454	*	peak_189
chr1	133382799	133383045	247	*	peak_190
chr1	90954453	90954927	475	*	peak_191
chr1	59115334	59115795	462	*	peak_192
chr1	120226360	120226504	145	*	peak_193
chr1	138113471	138113742	272	*	peak_194
chr1	125399310	125399440	131	*	peak_195
chr1	93432686	93433037	352	*	peak_196
chr1	66323269	66323507	239	*	peak_197
chr1	39374710	39374873	164	*	peak_198
chr1	72825728	72825834	107	*	peak_199
chr1	195134389	195134583	195	*	peak_200
chr1	134348895	134349339	445	*	peak_201
chr1	20953429	20953658	230	*	peak_202
chr1	87191307	87191481	175	*	peak_203
chr1	78464747	78465166	420	*	peak_204
chr1	166254972	166255457	486	*	peak_205
chr1	106771331	106771820	490	*	peak_206
chr1	119549643	119549785	143	*	peak_207
chr1	8364255	8364362	108	*	peak_208
chr1	75139678	75140082	405	*	peak_209
chr1	156427311	156427618	308	*	peak_210
chr1	171052240	171052597	358	*	peak_211
chr1	74543888	74544005	118	*	peak_212
chr1	75175450	75175749	300	*	peak_213
chr1	135386329	135386535	207	*	peak_214
chr1	153426211	153426332	122	*	peak_215
chr1	55084122	55084309	188	*	peak_216
chr1	192098940	192099343	404	*	peak_217
chr1	69532729	69532904	176	*	peak_218
chr1	153901877	153902226	350	*	peak_219
chr1	36564269	36564707	439	*	peak_220
chr1	75138005	75138324	320	*	peak_221
chr1	191171946	191172367	422	*	peak_222
chr1	167604067	167604322	256	*	peak_223
chr1	90045065	90045494	430	*	peak_224
chr1	134356427	134356632	206	*	peak_225
chr1	87575676	87576076	401	*	peak_226
chr1	172107033	172107310	278	*	peak_227
chr1	156426218	156426343	126	*	peak_228
chr1	172225223	172225450	228	*	peak_229
chr1	153425628	153425821	194	*	peak_230
chr1	136625711	136625850	140	*	peak_231
chr1	109983967	109984091	125	*	peak_232
chr1	63179462	63179613	152	*	peak_233
chr1	85894911	85895325	415	*	peak_234
chr1	192102185	192102342	158	*	peak_235
chr1	175965100	175965406	307	*	peak_236
chr1	187120566	187120997	432	*	peak_237
chr1	74662454	74662725	272	*	peak_238
chr1	178319203	178319480	278	*	peak_239
chr1	151478386	151478862	477	*	peak_240
chr1	173333405	173333845	441	*	peak_241
chr1	171339041	171339432	392	*	peak_242
chr1	90960879	90961117	239	*	peak_243
chr1	58436196	58436484	289	*	peak_244
chr1	132513579	132513785	207	*	peak_245
chr1	182765185	182765382	198	*	peak_246
chr1	177448042	177448451	410	*	peak_247
chr1	128364718	128365020	303	*	peak_248
chr1	10994125	10994401	277	*	peak_249
chr1	46357290	46357425	136	*	peak_250
chr1	195137909	195138348	440	*	peak_251
chr1	75239206	75239691	486	*	peak_252
chr1	171341701	171342117	417	*	peak_253
chr1	195138474	195138763	290	*	peak_254
chr1	136020902	136021162	261	*	peak_255
chr1	71591023	71591330	308	*	peak_256
chr1	63153758	63154187	430	*	peak_257
chr1	160909477	160909764	288	*	peak_258
chr1	54985814	54986228	415	*	peak_259
chr1	63699831	63700314	484	*	peak_260
chr1	88321352	88321838	487	*	peak_261
chr1	135720933	135721427	495	*	peak_262
chr1	55131627	55131831	205	*	peak_263
chr1	172104144	172104552	409	*	peak_264
chr1	165876454	165876578	125	*	peak_265
chr1	21400074	21400344	271	*	peak_266
chr1	165876057	165876223	167	*	peak_267
chr1	186090700	186091143	444	*	peak_268
chr1	87265325	87265719	395	*	peak_269
chr1	57958246	57958617	372	*	peak_270
chr1	107606641	107606945	305	*	peak_271
chr1	136272814	136273102	289	*	peak_272
chr1	60344999	60345176	178	*	peak_273
chr1	75316738	75317061	324	*	peak_274
chr1	120072500	120072906	407	*	peak_275
chr1	90768487	90768597	111	*	peak_276
chr1	118850481	118850714	234	*	peak_277
chr1	129539977	129540321	345	*	peak_278
chr1	52794680	52794953	274	*	peak_279
chr1	106981781	106982112	332	*	peak_280
chr1	67012462	67012943	482	*	peak_281
chr1	190774054	190774224	171	*	peak_282
chr1	91181798	91181982	185	*	peak_283
chr1	152768576	152769043	468	*	peak_284
chr1	127817299	127817763	465	*	peak_285
chr1	179961558	179961874	317	*	peak_286
chr1	181838174	181838384	211	*	peak_287
chr1	131295832	131296310	479	*	peak_288
chr1	171233454	171233586	133	*	peak_289
chr1	182955109	182955328	220	*	peak_290
chr1	151573959	151574420	462	*	peak_291
chr1	175901827	175902224	398	*	peak_292
chr1	173900760	173901182	423	*	peak_293
chr1	92918342	92918680	339	*	peak_294
chr1	87482825	87483163	339	*	peak_295
chr1	60081392	60081765	374	*	peak_296
chr1	179683484	179683611	128	*	peak_297
chr1	134348598	134348713	116	*	peak_298
chr1	22469075	22469388	314	*	peak_299
chr1	195140486	195140707	222	*	peak_300
chr1	175965161	175965363	203	*	peak_301
chr1	75213437	75213565	129	*	peak_302
chr1	74288695	74289117	423	*	peak_303
chr1	138486636	138486801	166	*	peak_304
chr1	162887627	162888033	407	*	peak_305
chr1	37613299	37613673	375	*	peak_306
chr1	190926372	190926661	290	*	peak_307
chr1	4777246	4777674	429	*	peak_308
chr1	57775861	57776318	458	*	peak_309
chr1	88057318	88057803	486	*	peak_310
chr1	58904128	58904311	184	*	peak_311
chr1	161072001	161072388	388	*	peak_312
chr1	74410430	74410740	311	*	peak_313
chr1	86154915	86155023	109	*	peak_314
chr1	87585267	87585395	129	*	peak_315
chr1	74743274	74743611	338	*	peak_316
chr1	132008670	132009127	458	*	peak_317
chr1	87194718	87195085	368	*	peak_318
chr1	162672131	162672594	464	*	peak_319
chr1	39620023	39620204	182	*	peak_320
chr1	131600080	131600206	127	*	peak_321
chr1	84724324	84724441	118	*	peak_322
chr1	155699292	155699557	266	*	peak_323
chr1	161244065	161244250	186	*	peak_324
chr1	107605955	107606417	463	*	peak_325
chr1	91352807	91353119	313	*	peak_326
chr1	192437446	192437850	405	*	peak_327
chr1	36844053	36844233	181	*	peak_328
chr1	64032263	64032688	426	*	peak_329
chr1	59122766	59122948	183	*	peak_330
chr1	150458923	150459280	358	*	peak_331
chr1	166256439	166256927	489	*	peak_332
chr1	74773188	74773605	418	*	peak_333
chr1	173921793	173922140	348	*	peak_334
chr1	30820445	30820662	218	*	peak_335
chr1	181822718	181822861	144	*	peak_336
chr1	86022635	86022748	114	*	peak_337
chr1	151395485	151395680	196	*	peak_338
chr1	65166734	65166884	151	*	peak_339
chr1	165330742	165330999	258	*	peak_340
chr1	167234827	167235142	316	*	peak_341
chr1	70726727	70727118	392	*	peak_342
chr1	184035420	184035847	428	*	peak_343
chr1	85652847	85653194	348	*	peak_344
chr1	59121186	59121326	141	*	peak_345
chr1	171532063	171532413	351	*	peak_346
chr1	22288161	22288312	152	*	peak_347
chr1	58284187	58284330	144	*	peak_348
chr1	85601882	85602274	393	*	peak_349
chr1	38054075	38054356	282	*	peak_350
chr1	34017615	34018048	434	*	peak_351
chr1	132227720	132227922	203	*	peak_352
chr1	119767088	119767446	359	*	peak_353
chr1	51471372	51471761	390	*	peak_354
chr1	182282971	182283090	120	*	peak_355
chr1	153457126	153457551	426	*	peak_356
chr1	120118065	120118489	425	*	peak_357
chr1	133611056	133611234	179	*	peak_358
chr1	153664897	153665324	428	*	peak_359
chr1	167227754	167228012	259	*	peak_360
chr1	52799400	52799861	462	*	peak_361
chr1	159311430	159311671	242	*	peak_362
chr1	180599001	180599241	241	*	peak_363
chr1	156330798	156331276	479	*	peak_364
chr1	163955028	163955218	191	*	peak_365
chr1	60912611	60912721	111	*	peak_366
chr1	173925434	173925814	381	*	peak_367
chr1	86527504	86527877	374	*	peak_368
chr1	132316241	132316472	232	*	peak_369
chr1	97649532	97649791	260	*	peak_370
chr1	91496167	91496615	449	*	peak_371
chr1	179531828	179532045	218	*	peak_372
chr1	93151930	93152352	423	*	peak_373
chr1	163929904	163930395	492	*	peak_374
chr1	32545783	32546256	474	*	peak_375
chr1	40436919	40437339	421	*	peak_376
chr1	65063033	65063449	417	*	peak_377
chr1	10026539	10026952	414	*	peak_378
chr1	135954837	135955261	425	*	peak_379
chr1	161155387	161155785	399	*	peak_380
chr1	135823185	135823502	318	*	peak_381
chr1	33785818	33786098	281	*	peak_382
chr1	151572947	151573296	350	*	peak_383
chr1	132040419	132040631	213	*	peak_384
chr1	106006217	106006341	125	*	peak_385
chr1	178954997	178955356	360	*	peak_386
chr1	89072871	89073189	319	*	peak_387
chr1	165876246	165876470	225	*	peak_388
chr1	135957352	135957799	448	*	peak_389
chr1	88227544	88227655	112	*	peak_390
chr1	52798658	52798858	201	*	peak_391
chr1	132457888	132458211	324	*	peak_392
chr1	170876141	170876440	300	*	peak_393
chr1	136184542	136184782	241	*	peak_394
chr1	162795204	162795603	400	*	peak_395
chr1	171683982	171684399	418	*	peak_396
chr1	66417253	66417700	448	*	peak_397
chr1	150320764	150321155	392	*	peak_398
chr1	93751536	93751715	180	*	peak_399
chr1	171331901	171332121	221	*	peak_400
chr1	185298105	185298217	113	*	peak_401
chr1	52119582	52119700	119	*	peak_402
chr1	174502878	174503116	239	*	peak_403
chr1	120123443	120123803	361	*	peak_404
chr1	34499464	34499842	379	*	peak_405
chr1	155159131	155159436	306	*	peak_406
chr1	89953878	89954116	239	*	peak_407
chr1	30806349	30806614	266	*	peak_408
chr1	192498005	192498299	295	*	peak_409
chr1	133901021	133901184	164	*	peak_410
chr1	85797987	85798240	254	*	peak_411
chr1	140513667	140514109	443	*	peak_412
chr1	133325736	133325953	218	*	peak_413
chr1	44120153	44120277	125	*	peak_414
chr1	153750213	153750343	131	*	peak_415
chr1	52926523	52926670	148	*	peak_416
chr1	165651779	165652107	329	*	peak_417
chr1	52121002	52121458	457	*	peak_418
chr1	44088422	44088797	376	*	peak_419
chr1	52152609	52152752	144	*	peak_420
chr1	74157083	74157435	353	*	peak_421
chr1	9969559	9969972	414	*	peak_422
chr1	175600639	175600827	189	*	peak_423
chr1	120121602	120121856	255	*	peak_424
chr1	75238110	75238568	459	*	peak_425
chr1	157099438	157099565	128	*	peak_426
chr1	170145900	170146366	467	*	peak_427
chr1	132477694	132478017	324	*	peak_428
chr1	97062172	97062538	367	*	peak_429
chr1	75221949	75222132	184	*	peak_430
chr1	40683631	40683847	217	*	peak_431
chr1	16350391	16350871	481	*	peak_432
chr1	44088834	44089302	469	*	peak_433
chr1	140087723	140087961	239	*	peak_434
chr1	54986687	54987172	486	*	peak_435
chr1	130936832	130937197	366	*	peak_436
chr1	157462668	157462841	174	*	peak_437
chr1	12873163	12873556	394	*	peak_438
chr1	129540695	129540862	168	*	peak_439
chr1	132511839	132511961	123	*	peak_440
chr1	36513084	36513184	101	*	peak_441
chr1	7089272	7089677	406	*	peak_442
chr1	92911550	92911811	262	*	peak_443
chr1	55408282	55408570	289	*	peak_444
chr1	172897180	172897387	208	*	peak_445
chr1	182128256	182128380	125	*	peak_446
chr1	121320429	121320769	341	*	peak_447
chr1	24012265	24012704	440	*	peak_448
chr1	36423999	36424101	103	*	peak_449
chr1	172071169	172071401	233	*	peak_450
chr1	192055256	192055528	273	*	peak_451
chr1	161012328	161012722	395	*	peak_452
chr1	38942567	38942676	110	*	peak_453
chr1	119744422	119744863	442	*	peak_454
chr1	155280888	155281331	444	*	peak_455
chr1	91377683	91377845	163	*	peak_456
chr1	91148785	91149156	372	*	peak_457
chr1	36146490	36146780	291	*	peak_458
chr1	136468306	136468759	454	*	peak_459
chr1	89459298	89459735	438	*	peak_460
chr1	37833697	37833928	232	*	peak_461
chr1	86705826	86706069	244	*	peak_462
chr1	52786002	52786277	276	*	peak_463
chr1	172527793	172528229	437	*	peak_464
chr1	59688223	59688555	333	*	peak_465
chr1	91305433	91305828	396	*	peak_466
chr1	135841256	135841403	148	*	peak_467
chr1	40683747	40684098	352	*	peak_468
chr1	188976019	188976507	489	*	peak_469
chr1	39804877	39805307	431	*	peak_470
chr1	75385639	75385869	231	*	peak_471
chr1	152768763	152769166	404	*	peak_472
chr1	37300990	37301427	438	*	peak_473
chr1	43072912	43073098	187	*	peak_474
chr1	63273365	63273865	501	*	peak_475
chr1	171637598	171637757	160	*	peak_476
chr1	75522789	75523237	449	*	peak_477
chr1	40468653	40468854	202	*	peak_478
chr1	182567750	182568250	501	*	peak_479
chr1	84160045	84160322	278	*	peak_480
chr1	171215888	171216370	483	*	peak_481
chr1	131056716	131057213	498	*	peak_482
chr1	155940088	155940453	366	*	peak_483
chr1	91299418	91299606	189	*	peak_484
chr1	118849043	118849279	237	*	peak_485
chr1	91258555	91258846	292	*	peak_486
chr1	140091532	140091756	225	*	peak_487
chr1	44011509	44011695	187	*	peak_488
chr1	89456491	89456774	284	*	peak_489
chr1	180186358	180186749	392	*	peak_490
chr1	171220462	171220854	393	*	peak_491
chr1	165596944	165597375	432	*	peak_492
chr1	75456297	75456775	479	*	peak_493
chr1	90607374	90607555	182	*	peak_494
chr1	134206179	134206362	184	*	peak_495
chr1	165788830	165789189	360	*	peak_496
chr1	180856690	180856805	116	*	peak_497
chr1	162540185	162540324	140	*	peak_498
chr1	38537438	38537848	411	*	peak_499
chr1	66835159	66835563	405	*	peak_500
chr1	87597011	87597132	122	*	peak_501
chr1	53328568	53328757	190	*	peak_502
chr1	59109969	59110274	306	*	peak_503
chr1	134560465	134560867	403	*	peak_504
chr1	78662339	78662754	416	*	peak_505
chr1	171221435	171221663	229	*	peak_506
chr1	133630947	133631081	135	*	peak_507
chr1	81078546	81078841	296	*	peak_508
chr1	135403234	135403490	257	*	peak_509
chr1	5913751	5914103	353	*	peak_510
chr1	60110743	60111041	299	*	peak_511
chr1	169512214	169512685	472	*	peak_512
chr1	42695799	42696226	428	*	peak_513
chr1	87947716	87948004	289	*	peak_514
chr1	34012736	34013163	428	*	peak_515
chr1	63167192	63167410	219	*	peak_516
chr1	119779758	119779885	128	*	peak_517
chr1	105665148	105665635	488	*	peak_518
chr1	74545432	74545836	405	*	peak_519
chr1	180945616	180945831	216	*	peak_520
chr1	93828575	93828743	169	*	peak_521
chr1	151755817	151756092	276	*	peak_522
chr1	131973855	131974076	222	*	peak_523
chr1	164441462	164441742	281	*	peak_524
chr1	37613368	37613650	283	*	peak_525
chr1	155130951	155131159	209	*	peak_526
chr1	183087133	183087348	216	*	peak_527
chr1	154391299	154391767	469	*	peak_528
chr1	16643210	16643329	120	*	peak_529
chr1	179528557	179529041	485	*	peak_530
chr1	139547550	139547904	355	*	peak_531
chr1	191980037	191980416	380	*	peak_532
chr1	59764082	59764516	435	*	peak_533
chr1	58468292	58468738	447	*	peak_534
chr1	51750859	51751263	405	*	peak_535
chr1	152839979	152840135	157	*	peak_536
chr1	42696459	42696682	224	*	peak_537
chr1	187136582	187136865	284	*	peak_538
chr1	39536829	39537271	443	*	peak_539
chr1	59685883	59686165	283	*	peak_540
chr1	89929041	89929250	210	*	peak_541
chr1	120477796	120478116	321	*	peak_542
chr1	174138375	174138476	102	*	peak_543
chr1	172521223	172521655	433	*	peak_544
chr1	169656941	169657102	162	*	peak_545
chr1	107048404	107048851	448	*	peak_546
chr1	165465659	165466076	418	*	peak_547
chr1	161143255	161143604	350	*	peak_548
chr1	156680035	156680314	280	*	peak_549
chr1	75317581	75317987	407	*	peak_550
chr1	127818736	127819109	374	*	peak_551
chr1	36514691	36514841	151	*	peak_552
chr1	87329918	87330057	140	*	peak_553
chr1	135842596	135842971	376	*	peak_554
chr1	138825611	138825739	129	*	peak_555
chr1	160258419	160258568	150	*	peak_556
chr1	74715611	74715857	247	*	peak_557
chr1	60416855	60417284	430	*	peak_558
chr1	183294321	183294640	320	*	peak_559
chr1	40441165	40441612	448	*	peak_560
chr1	20919592	20919799	208	*	peak_561
chr1	167004273	167004394	122	*	peak_562
chr1	18115953	18116105	153	*	peak_563
chr1	184727410	184727729	320	*	peak_564
chr1	73997096	73997372	277	*	peak_565
chr1	58033406	58033885	480	*	peak_566
chr1	173422720	173423070	351	*	peak_567
chr1	68032912	68033395	484	*	peak_568
chr1	140089190	140089535	346	*	peak_569
chr1	91055697	91056133	437	*	peak_570
chr1	93343410	93343640	231	*	peak_571
chr1	166407710	166408185	476	*	peak_572
chr1	21369049	21369382	334	*	peak_573
chr1	30999444	30999927	484	*	peak_574
chr1	136272918	136273169	252	*	peak_575
chr1	17728994	17729214	221	*	peak_576
chr1	75211981	75212444	464	*	peak_577
chr1	92642551	92642779	229	*	peak_578
chr1	91802524	91802702	179	*	peak_579
chr1	86024476	86024605	130	*	peak_580
chr1	164315284	164315428	145	*	peak_581
chr1	75451885	75452283	399	*	peak_582
chr1	37991137	37991523	387	*	peak_583
chr1	74567136	74567347	212	*	peak_584
chr1	75309908	75310077	170	*	peak_585
chr1	87328534	87328773	240	*	peak_586
chr1	30946638	30946766	129	*	peak_587
chr1	185457734	185458200	467	*	peak_588
chr1	59685561	59685962	402	*	peak_589
chr1	52120410	52120862	453	*	peak_590
chr1	13113850	13114144	295	*	peak_591
chr1	181355112	181355529	418	*	peak_592
chr1	26682879	26683133	255	*	peak_593
chr1	131297539	131297896	358	*	peak_594
chr1	181904560	181904951	392	*	peak_595
chr1	120068637	120069043	407	*	peak_596
chr1	63291489	63291924	436	*	peak_597
chr1	21370388	21370851	464	*	peak_598
chr1	153464756	153465014	259	*	peak_599
chr1	164071346	164071560	215	*	peak_600
chr1	134183257	134183655	399	*	peak_601
chr1	125562126	125562540	415	*	peak_602
chr1	24683153	24683284	132	*	peak_603
chr1	34441866	34442229	364	*	peak_604
chr1	63177158	63177609	452	*	peak_605
chr1	75477963	75478452	490	*	peak_606
chr1	120116057	120116420	364	*	peak_607
chr1	75184563	75184983	421	*	peak_608
chr1	172085700	172086157	458	*	peak_609
chr1	52122078	52122291	214	*	peak_610
chr1	180570504	180570748	245	*	peak_611
chr1	155698361	155698690	330	*	peak_612
chr1	134495850	134496042	193	*	peak_613
chr1	40681929	40682224	296	*	peak_614
chr1	92959821	92960078	258	*	peak_615
chr1	64534075	64534551	477	*	peak_616
chr1	140088557	140088818	262	*	peak_617
chr1	174834216	174834627	412	*	peak_618
chr1	133621960	133622324	365	*	peak_619
chr1	174138385	174138724	340	*	peak_620
chr1	165141590	165141802	213	*	peak_621
chr1	156655888	156656207	320	*	peak_622
chr1	119474387	119474795	409	*	peak_623
chr1	87594565	87594913	349	*	peak_624
chr1	84722680	84722825	146	*	peak_625
chr1	174073606	174073719	114	*	peak_626
chr1	82717508	82717916	409	*	peak_627
chr1	93991458	93991947	490	*	peak_628
chr1	86589590	86590075	486	*	peak_629
chr1	121306685	121307126	442	*	peak_630
chr1	22292072	22292323	252	*	peak_631
chr1	180695651	180696080	430	*	peak_632
chr1	156423508	156423948	441	*	peak_633
chr1	25068535	25068649	115	*	peak_634
chr1	16968107	16968393	287	*	peak_635
chr1	172086493	172086748	256	*	peak_636
chr1	166629147	166629336	190	*	peak_637
chr1	187215687	187215960	274	*	peak_638
chr1	75450780	75451229	450	*	peak_639
chr1	87479994	87480222	229	*	peak_640
chr1	98421861	98422331	471	*	peak_641
chr1	183137140	183137300	161	*	peak_642
chr1	173203656	173204143	488	*	peak_643
chr1	60223487	60223843	357	*	peak_644
chr1	133309997	133310432	436	*	peak_645
chr1	134762839	134763051	213	*	peak_646
chr1	150450104	150450299	196	*	peak_647
chr1	171330612	171330966	355	*	peak_648
chr1	53160331	53160579	249	*	peak_649
chr1	131296744	131296996	253	*	peak_650
chr1	6804412	6804870	459	*	peak_651
chr1	93438765	93439164	400	*	peak_652
chr1	36269372	36269731	360	*	peak_653
chr1	53159827	53160159	333	*	peak_654
chr1	56970253	56970700	448	*	peak_655
chr1	92439755	92440053	299	*	peak_656
chr1	180169444	180169721	278	*	peak_657
chr1	87621340	87621797	458	*	peak_658
chr1	160906677	160907176	500	*	peak_659
chr1	85718967	85719129	163	*	peak_660
chr1	132480787	132481074	288	*	peak_661
chr1	16067338	16067675	338	*	peak_662
chr1	58464108	58464426	319	*	peak_663
chr1	91414328	91414744	417	*	peak_664
